"Log Number",Description,"Supplement Indicator",Institution,"Fiscal Year",Program,"Federal Funds","Funding Office",City,State
NAB-253803-OLS-23,"The Native Village of Eagle Tribal Library seeks to continue and enhance its library services to its community. The project will provide a place to access books, newspapers, magazines and have access to high-speed internet free of charge. The tribal library will offer staff with the knowledge to help elders and other library users, to navigate state, federal, and tribal websites, and to retrieve and print forms for social security, The library will assist community members with accessing Alaska Permanent Fund Dividends and the capacity to order groceries.",0,"Native Village of Eagle",2023,"Native American Library Services: Basic Grants",$9895,"Office of Library Services",Eagle,AK
NAB-253705-OLS-23,"The Redwood Valley Little River Band of Pomo Indians will purchase children’s books, Native books, periodicals, reading incentives, and Internet connection for the library and computer lab to support its existing operations and maintain core library services. The funds will support the library assistant’s salary and an after-school tutoring program. In addition, the library will create an Elders group for socializing and information sharing. The Redwood Valley Rancheria is in a rural area without public transportation for the community to access the public library 20 miles away. This project will improve and expand services and increase knowledge to all members, especially youth and elders.",0,"Redwood Valley Tribe",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Redwood Valley",CA
NAB-254811-OLS-23,"The Big Valley Band of Pomo Indians Tribal Historic Preservation Office will purchase a binding machine, computer, storage hardware, and printer to support existing operations and to maintain core library services for its community. It will support staff time as well as a project assistant and PhD researcher to identify, acquire, and database thousands of archival records held at UC Berkeley onto the Tribal server, which will then be organized and searchable on a workstation computer. The funding also supports travel to UC Berkeley to work with reference librarians to identify all relevant physical and digital holdings in their collection. The project will provide direct benefit to the 675 households within its project service area.",0,"Big Valley Band of Pomo Indians",2023,"Native American Library Services: Basic Grants",$9997,"Office of Library Services",Lakeport,CA
NAB-254806-OLS-23,"The Dr. Fernando Escalante Tribal Library will hire a consultant and purchase archival materials to plan for and implement a sustainable physical archive for the Pascua Yaqui Tribe as well as a digital learning environment. The consultant will provide an onsite assessment and develop a phased project plan for the Library to collect and preserve tribal materials. It also will support professional association membership and skill-enhancing workshops for its library workforce to gain essential skills, tools, and techniques in order to build a foundational knowledge of archives and special collections. The project will provide direct benefit to the over 20,000 tribal citizens within its project service area.",0,"Pascua Yaqui Tribe of Arizona",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Tucson,AZ
NAB-253806-OLS-23,"The Nome Eskimo Community library will purchase books for the collection, including Alaska Native and American Indian resources, and children’s and young adult books. It will also support summer reading programs to help prevent the summer slide and other literacy-based youth programming during the school year. The library will hold programs in areas accessible to youth to help eliminate barriers to attending. The grant will also support the salary of library staff to run the summer youth programs and other youth-focused literacy programs.  The work of this project will support the needs of community members with a special interest in promoting youth literacy.",0,"Nome Eskimo Community",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Nome,AK
NAB-253777-OLS-23,"The only public library on the Turtle Mountain Chippewa Reservation plans to enhance its collection, provide targeted programming, and extend its hours to increase access to the library and all services offered. For many in the community, the library provides their only access to computers and the internet. Hiring a part-time staff member will allow the library to extend its evening hours. The library will work with the language and culture committee at the Turtle Mountain Community College to bring in traditional speakers for workshops, storytelling, and free community events. Staff will enhance skills by attending the annual conferences of the Association of Tribal Archives, Libraries, and Museums and the North Dakota Library Association.",0,"Turtle Mountain Band of Chippewa Indians",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Belcourt,ND
NAB-253780-OLS-23,"The Delaware Nation will use funding to expand its library collection of Native American authors and information through books, magazines, newspaper subscriptions, and DVDs. It will also pay for annual library and collections subscriptions to support its existing operations and maintain core library services. The library is moving to a larger location and will purchase a new circulation desk, book return, and furniture for the children’s reading area. Funds will also support travel and registration costs for the Librarian to participate in skill-enhancing professional development conferences and for membership to the Oklahoma Library Association.  By adding these new resources, the library will be able to expand its support to over 2000 tribal citizens representing the Delaware Nation.",0,"Delaware Nation",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Anadarko,OK
NAB-253805-OLS-23,"The Pueblo de Cochiti Library will continue to promote usage of core library services for library users of Pueblo de Cochiti community in New Mexico. This project includes efforts to increase access to catalog items, expand the collection, procure library supplies, activity supplies, support community health measures, and maintain the electronic catalog. This project will enhance the skills of the current library workforce and leadership through training, continuing education, and opportunities for professional development. This project will support the coverage of expenses related to courses, workshops, and other forms of training for library staff.",0,"Pueblo of Cochiti",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Cochiti Pueblo",NM
NAB-254815-OLS-23,"The Wampanoag Tribe of Gay Head (Aquinnah) Tribal Library will hire tutors and guest speakers as well as purchase electronic equipment, tutoring and event materials, and cleaning and office supplies to support its existing operations and to maintain core library services for its community. After COVID-related closures and a phased reopening, the library is now open every weekday from 10am to 2pm and is focused on reviving its services to the community, including but not limited to tutoring, community events/presentations, and other programming. It will also update its community-use electronics and book collection. The project will provide direct benefit to the tribal citizens within its project service area.",0,"Wampanoag Tribe of Gay Head",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Aquinnah,MA
NAB-253739-OLS-23,"The Aroostook Micmac Council will purchase new books and a library management system to facilitate the book check out process. The library will also purchase new computers and study carrels to provide space and opportunity for Tribal members to research, study, and perform workforce and educational related activities. Librarians will also conduct resume writing and interview workshops as well as provide resources for elementary, secondary, and post-secondary students to promote college and career readiness. The project will provide direct benefit to the tribal members.",0,"Aroostook Band Micmacs",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Presque Isle",ME
NAB-253675-OLS-23,"The Oglala Lakota College Woksape Tipi in Pine Ridge, South Dakota, is the designated public library for the Pine Ridge Indian Reservation and will use funds to upgrade its internet access and subscribe to Flipster On-line Digital Periodicals to support its existing operations and to maintain core library services for its community. Woksape Tipi is the sole academic resource for Oglala Lakota College and serves the Pine Ridge Indian Reservation and the Cheyenne River Indian Reservation. Funding will also support travel for two library staff members to attend the Tribal College Librarians Conference. The project will provide direct benefit to the nearly 1,300 students at the Oglala Lakota College and 19,000 people on the Pine Ridge Reservation within its project service area.",0,"Oglala Sioux Tribe",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Pine Ridge",SD
NAB-253699-OLS-23,"The Chippewa Cree Tribe of The Rockey Boy Reservation will purchase subscriptions to the Junior Library Guild, NewsBank, Inc., MontanaLibrary2Go, and Ancestry.com/Heritage Quest to support its existing operations and to maintain core library services for its community. Additional funds will be used to purchase materials requested by patrons through the grant period. Lastly, a portion of the grant will support travel to the Tribal College Librarians Institute in Bozeman, Montana for skill-enhancing professional development meetings and conferences and will offer learning opportunities to community members in a variety of formats to strengthen community engagement and improve educational programs related to specific topics and content areas of interest to library patrons and community-based users. This project will help improve core library services for their core community.",0,"Chippewa Cree Tribe",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Box Elder",MT
NAB-253797-OLS-23,"The Enterprise Rancheria Library will enhance it services to the surrounding tribal community. The project will be used to continue to expand and refine library services through the purchase of materials for the collection. The focus and mission of the library will continue to be offering programs for the tribal community through the Tutor/ Librarian, IT training to assist in digital literacy, storytelling and building cross-generational connections, improving access to archives of materials, digital files and the book collection for increased literacy and cultural literacy. Provide quality library services, research facilities and archives for the preservation and enhancement of the Estom Yumeka Maidu tribal traditions, history and cultural renewal. This project will make these resources a vital aspect of youth educational opportunities leading to life-long learning, encourage students to pursue professions in library and information services, cultural development, and a center of intergenerational contact for tribal elders.",0,"Enterprise Rancheria of Maidu Indians",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Oroville,CA
NAB-253750-OLS-23,"The Mohegan Tribe of Indians of Connecticut will purchase research database subscriptions, secure storage for a collection of over 100 paintings, and books to support the monthly book club. The research databases will enable staff in the Cultural Programs to provide programming for tribal members and the general public and support personal research by tribal members and students. To support employee training and professional development, funds will also cover registration and accommodations for the Archivist/Librarian and Library Coordinator to each attend a professional conference. The grant will provide direct benefit to the Mohegan Tribe of Indians of Connecticut and the public.",0,"Mohegan Tribe",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Uncasville,CT
NAB-253752-OLS-23,"The Ak-Chin Indian Community will hire and train temporary employees to help return the library to pre-COVID operations and in-person programming. Temporary employees will assist with all Library programs including serving as Program Pick-up driver, which enables children in the community to get to the library for programming and resources. With these funds, program attendance will increase by 25%. The grant will provide direct benefit to the Ak-Chin Indian Community.",0,"Ak-Chin Indian Community",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Maricopa,AZ
NAB-253776-OLS-23,"The Jamestown S’Klallam Tribal Library will support existing operations and maintain core library services for its community. Funds will be used to support staff wages and training, purchase supplies and subscriptions for much needed collection development, and pay speaker stipends for monthly programming. The monthly programming focus on the theme of “Learning Our Landscape.” The speaker list will be expanded to include experts in and outside of the Tribe as well as film screenings. Despite the library building itself remaining under construction, staff provide curbside service, remote reference assistance, and mobile services to Tribal Elders. The project will provide direct benefit to Tribal citizens and the eastern Clallam County community.",0,"Jamestown S'Klallam Tribe",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Sequim,WA
NAB-253792-OLS-23,"The Modoc Nation seeks to build on the path established recently for Elder Activity and outdoor engagement. Elevated garden beds are in place and to further enhance the experience a greenhouse will be placed in the garden area, allowing for year-round participation and engagement. Supplies will be purchased to establish the greenhouse: gravel for base, pots, seeds, tools, and plants. The Modoc Nation Library has a wealth of publications specific to gardening and will use those resources to encourage the Elder Community to participate in planned gardening activities, within the library and in the garden area. Additional travel is set aside for library staff to attend meetings and conferences that will provide for professional development, networking, and skill development. The project is score to the Modoc Nation Elder Community and works toward ensuring that the elders in the service area are active, engaged and have accessibility to activities that are stimulating and provide for socialization.",0,"Modoc Nation",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Miami,OK
NAB-253735-OLS-23,"The Igiugig Tribal Village Council will provide local core library services to a community of remote users, living in non-road accessible locations. This will be accomplished by supporting staff salaries, travel to the Association of Tribal Libraries and Museums (ATALM) 2023 in Oklahoma City, as well as providing support for local professional staff training.   Funding support for staff salaries will make possible a summer reading program and other special programs, circulation services including inter-library loan, hosting of the Battle of the Book competition, and gather 10 stories to support the Niraqutaq Qallemcinek local history tradition.",0,"Igiugig Village",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Igiugig,AK
NAB-253741-OLS-23,"The Nez Perce Tribe will purchase laptops, iPads, shelving, and office supplies to support patron checkout and public workstations at its new reading and research library, “Hite’emenwees” (Place of Wisdom). Funds will also be used to hire a consultant who will work with the library advisory committee to do a needs assessment and update library policies to better serve the public. The Nez Perce library director will also attend state and national conferences to connect with other library practitioners and learn best practices. The grant will support the first Tribal library for the Nez Perce Tribe and the first tribal member as library director. It will play a key role in preserving the tribes cultural and history, education, and provide direct benefit to the Nez Perce Tribe.",0,"Nez Perce Tribe",2023,"Native American Library Services: Basic Grants",$9826,"Office of Library Services",Lapwai,ID
NAB-253786-OLS-23,"The Sault Tribe Ojibwe Learning Center and Library will provide an Anishinaabe learning space for the community to learn traditions to live “minobimaadiziwin” (the good life way). This work will improve cultural knowledge, affirm tribal identities, and provide growth and development of community for a sense of cultural well-being and will enhance community engagement opportunities and services through traditional knowledge learning and professional development. By providing traditional cultural knowledge and professional development opportunities, staff can increase learning and enrichment through engaging and interactive programming open to all community members.",0,"Sault Sainte Marie Tribe of Chippewa Indians",2023,"Native American Library Services: Basic Grants",$9970,"Office of Library Services","Sault Sainte Marie",MI
NAB-253696-OLS-23,"The Walker River Paiute Tribe will purchase program supplies such as Buckskin, needles, sinew, ribbons, and beads for cultural classes. It will also purchase book for literacy workshops. The library will contract cultural teachers for each workshop and tutors to help students during the school year. The library is focusing on using song and dance to facilitate cultural awareness, and community engagement through literacy. Classes include moccasin making, regalia making, beading class, drum making, and literacy events within the local school district and community. Funds will also support the salary of the Education Director. The project will provide direct benefit to tribal members with a particular focus on the youth of the Walker River Paiute Tribe.",0,"Walker River Paiute Tribe",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Schurz,NV
NAB-254810-OLS-23,"The Ely Shoshone Tribe will purchase books, furniture, internet service, and supplies to support its existing operations and to maintain core library services for its community. It will expand its library collection with new at least 100 new books for children, young adults, and adults. This includes materials relating to the tribe, as well as fiction and non-fiction titles that will be selected based on the librarian’s research of available resources and community requests. The library will continue to host story hour programs for three age groups: 4–6 years of age, 7–9 years of age, and 10–13 years of age. The project will provide direct benefit to the tribal citizens within its project service area.",0,"Ely Shoshone Tribe",2023,"Native American Library Services: Basic Grants",$9000,"Office of Library Services",Ely,NV
NAB-253734-OLS-23,"The Wyandotte Nation will purchase books, journals, magazine subscriptions, library supplies, library automation software, library furnishings, computers, software, and Wi-Fi devices to support its existing operations and to maintain core library services for its community. It will support travel for its library workforce to skill-enhancing professional development meetings and conferences and will offer learning opportunities to community members in a variety of formats to strengthen community engagement and improve educational programs related to specific topics and content areas of interest to library patrons and community-based users. The project will provide direct benefit to the nearly 1,300 tribal citizens within its project service area.",0,"Wyandotte Nation",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Wyandotte,OK
NAB-253743-OLS-23,"Coyote Valley Tribal Council will purchase subscriptions, software, textbooks, books and other educational materials to increase educational opportunities for both youth and adults. Funds will also support a portion of staff salaries to enable staff to conduct small group reading sessions, increase the college core subject textbook inventory by 10%, and maintain the library’s database, book inventory, and space. The grant will support community members in pursuing their educational pathways and provide direct benefit to the Coyote Valley Tribe.",0,"Coyote Valley Band of Pomo Indians",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Redwood Valley",CA
NAB-254808-OLS-23,"The Pechanga Tribal Library will purchase books, journal subscriptions, library supplies, and shelving to support its move to a larger building and to maintain core library services for its community. The new library and research will provide more space for staff to work collaboratively on projects and allow visitors to research the collection without disrupting staff work. Funding will also support hiring a library consultant to catalog newly acquired books and journals, conduct overall library upkeep, and assist with moving into the new location. The project will provide direct benefit to the Pechanga Band of Luiseño Mission Indians community which includes outside researchers and visitors as well as tribal members, researchers, scholars, and students.",0,"Pechanga Band of Luiseño Mission Indians",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Temecula,CA
NAB-253672-OLS-23,"The Kaw Nation and the Kanza Library and Learning Center will purchase books, culturally significant Native American reading materials, magazine subscriptions, and electronic resources to support its existing operations and to maintain core library services for its community. It will provide furnishings for a coffee nook/commons area, a desk for the Library Coordinator, and items for the children’s reading area. The library will offer interactive storytelling events as part of their childcare development program. Funding will support memberships to the Association of Tribal Archives, Libraries, & Museums and the American Library Association, and staff travel to attend conferences to enhance professional skills. Funds will also be used for book labeling materials, book covers, and tape to repair damaged books. The project will provide direct benefit to tribal citizens and Kay County community members within its project service area.",0,"Kaw Nation",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Kaw City",OK
NAB-254809-OLS-23,"The Fort Sill Chiricahua/Warm Springs Apache Tribe’s Cultural Programs Office and Library will purchase books, periodicals, software subscriptions, and office supplies to support its existing operations and to maintain core library services for its community. It will support a new Cultural Assistant position, helping the library strengthen opportunities for learning and accessing information. It will also support travel for its library workforce to skill-enhancing professional development meetings and conferences and will offer learning opportunities to community members to strengthen community engagement and improve educational programs related to specific topics and content areas of interest to library patrons and community-based users. The project will provide direct benefit to the tribal citizens within its project service area.",0,"Fort Sill Apache Tribe",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Apache,OK
NAB-253722-OLS-23,"The Ponca Tribe of Nebraska will support its existing library operations and maintain its core library services across five locations within their fifteen counties of service area for their tribe. Funding will purchase archival materials, software and furniture to support their growing collection of repatriated artifacts and historical documents that include hundreds of original allotment records dating from 1891, survey plot maps for local townships dating from the early twentieth century, Bureau of Indian Affairs’ Indian Census records from 1890 to 1940, and historical photographs of tribal members that they plan to share out to their community. In addition, their library offers workforce development, healthcare and cultural resources to help community members who do not have access to any other sources of support for their needs. The project will provide direct benefit to their community members within their service delivery area.",0,"Ponca Tribe of Nebraska",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Niobrara,NE
NAB-254804-OLS-23,"The Karuk Tribe will use grant funds for a library technician, new books, software subscriptions as well as library office supplies to support its existing operations and to maintain core library services for its community. Activities will include conducting item inventory, cataloging analog materials, and uploading digital content to help improve services for accessing information. This project will provide direct benefit to the Karuk tribal citizens and the Department of Natural Resources as well as users of the People’s Center, the Karuk Tribal Libraries, and the Sípnuuk Digital Library, Archives and Museum.",0,"Karuk Tribe",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Happy Camp",CA
NAB-254813-OLS-23,"The Native Village of Chignik Lagoon will employ a part-time library aide and purchase books, office equipment, book repair items, supplies, and database and website subscriptions to support its existing operations and to maintain core library services for its community. Requested funding will also support tasks related to the digitization of new books into the database and cataloging system as well as to maintain the tribal website and new domain page. The project will support the coverage of expenses related to library aide travel to skill-enhancing professional development courses, workshops, and other forms of trainings. It will provide direct benefit to all in the Chignik Lagoon community, which includes members, teachers and students.",0,"Native Village of Chignik Lagoon",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Chignik Lagoon",AK
NAB-253758-OLS-23,"The Fort Mojave Tribal Council will purchase e-books and audio books so Tribal members and community members can have access to books at all times. The library plans to run book reading contests to promote reading to community members of all ages. It will also pay for annual library and collections subscriptions to support its existing operations and maintain core library services. It will purchase new computers and computer software so patrons can have access to computers to access important information. The project will provide direct benefit to more than 1,100 tribal members and the surrounding community.",0,"Fort Mojave Indian Tribe",2023,"Native American Library Services: Basic Grants",$9036,"Office of Library Services",Needles,CA
NAB-254826-OLS-23,"The Little Traverse Bay Bands of Odawa Indians will purchase books and e-books to support its existing operations and to provide core library services for its community. It will also purchase program supplies and support outreach efforts to run a book club, a seasonal reading program, and run other cultural storytelling events. Funds will support travel and registration for library staff to participate in skill-enhancing professional development meetings and conferences. The project will provide direct benefit to the community through programs, services, and resources that address community needs and supports multiple forms of literacy.",0,"Little Traverse Bay Bands of Odawa Indians",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Harbor Springs",MI
NAB-254803-OLS-23,"The Makah Tribe will use grant funds for a Library staff assistant, software subscriptions and upgrades, books, manuscripts and other library and archival resources. The grant will also fund the purchase of acid free containers, folders, and mylar sleeves to better preserve its archives and special collections. Funds will also be used to support travel for staff to attend the annual Association of Tribal Archives, Libraries and Museums conference. This project will enhance collection management and increase access to collections, which will ultimately help increase awareness, education and interest in Makah culture and history.",0,"Makah Indian Tribe",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Neah Bay",WA
NAB-253775-OLS-23,"The Susanville Indian Rancheria will improve the educational enrichment opportunities at the library and education center through excellent after-school tutoring and summer programming for transitional kindergarten through twelfth grade. Student activities will include explorations of native art and the growing of food and herbal medicines. The gardening activity will encourage learning about the Native plants that sustained the cultures of the four distinct anthropological groups that make up the Susanville Indian Rancheria with food and medicines. Learning how to grow their own produce not only cultivates a life skill students can take with them, but also provides live visuals for things only read about in textbooks.",0,"Susanville Indian Rancheria",2023,"Native American Library Services: Basic Grants",$7000,"Office of Library Services",Susanville,CA
NAB-253793-OLS-23,"The Haines Borough Public Library of the Chilkoot Indian Association will continue to build on recent collections acquisitions with an emphasis on acquiring Tlingit materials, expanding its large print section for an increasing number of seniors and those with visual disabilities and improving its selection of audio materials for all ages. The library will focus on providing faster and more robust internet service for its library users. A part of the library’s service to its community includes art for adults by inviting local artists to lead instruction on glass fusing, painting, cooking, mosaics, weaving, etc. The projects will help improve core library services for its community and improve services for learning and accessing information.",0,"Chilkoot Indian Association",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Haines,AK
NAB-253742-OLS-23,"Hualapai Tribal Council will purchase furniture and library subscriptions to update collections based on the interests and needs of the community. Funds will support a portion of the library staff salary at the Edward McElwain Memorial Library and support attendance at state and national conferences to remain up to date on best practices. The grant will play a key role in promoting literacy and provide direct benefit to Peach Springs residents.",0,"Hualapai Indian Tribe",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Peach Springs",AZ
NAB-253779-OLS-23,"The Seneca Nation of Indians will purchase library materials, hold programming, and include professional development opportunities to support existing library operations and maintain core services. This includes attaining more books written by Native American authors and books with a focus on Native American history and culture, which are very beneficial to educating the community. The library will also hire culturally based consultants for programming related to the Seneca culture that enables patrons to take part in a Seneca craft or a presentation. Staff will also provide a summer reading program that will give supplies to the youngest readers. Additionally, staff will receive professional development by attending the Association of Tribal Archives, Libraries, and Museums conference. Collectively, these project activities will provide direct benefit to citizens of the Allegany Territory and the Cattaraugus Territory.",0,"Seneca Nation of Indians",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Salamanca,NY
NAB-253715-OLS-23,"The Huna Totem Corporation will make photo calendars from its digital archives that depict the community’s rich culture and unique history. Activities include designing, printing, and providing its patrons with custom made archive photo calendars. The library will also purchase books on local and regional Tlingit culture and a new bookshelf to house the growing collection of books. The project will provide direct benefit to the shareholders and descendants of the Huna Totem Corporation.",0,"Huna Totem Corporation",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Juneau,AK
NAB-253767-OLS-23,"The San Carlos Apache College will partner with the San Carlos Public Library to produce, store, and distribute cultural lunar calendars to community members. The calendars include highly detailed and practical materials regarding ancestral Apache knowledge and practice and will be produced in collaboration with graphic artists to use and preserve key cultural knowledge. The project will fund the creation of 600 high quality cultural lunar calendars and will also include library-hosted events to showcase and discuss the calendars with and for community members. This work continues to bring the community and college libraries together for resource sharing and increased collaboration.",0,"San Carlos Apache Tribe",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","San Carlos",AZ
NAB-253716-OLS-23,"The Arctic Slope Regional Corporation supports the Tuzzy Consortium Library in providing culturally responsive services and collections that enrich the lives and expand the horizons of the people of the North Slope of Alaska through its library services. It helps support a library technician at each location to maintain and improve core library services and organize activities such as summer reading programs. It will also support travel for its library workforce to skill-enhancing professional development conferences to help strengthen the library services. The project will provide direct benefit to eight village libraries that are among the few educational and informational options available to residents of those remote, isolated areas, including Anaktuvuk Pass, Atqasuk, Nuiqsut, Kaktovik, Point Hope, Point Lay, Wainwright and Utqiagvik.",0,"Arctic Slope Regional Corporation",2023,"Native American Library Services: Basic Grants",$80000,"Office of Library Services",Anchorage,AK
NAB-253747-OLS-23,"The Native Village of Cantwell will purchase books, subscriptions, and audio/visual materials to address education and professional development needs. Staff will expand the library collection to increase knowledge in areas such as education, health, digital literacy skills, and economic and business development. Funds will also be used to for internet and e-book service fees. To better serve patrons and improve library operations, the library director will participate in training and professional development conferences and funds will pay for a portion of the Director’s salary. The grant will provide direct benefit to the Native Village of Cantwell.",0,"Native Village of Cantwell",2023,"Native American Library Services: Basic Grants",$9145,"Office of Library Services",Cantwell,AK
NAB-253717-OLS-23,"The Forest County Potowatomi Community will build on activities after an increase in community interest and engagement from a previous Enhancement grant. An emphasis on purchasing books and materials for youth will be maximized through partnerships with local school districts to expand programming and collaboration beyond their current preschool program to increase the knowledge of Potowatomi language, history and culture. Engagement activities and purchase of supplies and materials that are tailored to their community continue to affirm their library spaces and expand outreach to their rural community members. It will support travel for its library to attend professional development opportunities. The project will provide direct benefit to the community members within its project service area.",0,"Forest County Potawatomi Community",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Crandon,WI
NAB-253811-OLS-23,"The Tuolumne Me-Wuk Tribal Library will develop a cultural enrichment curriculum focusing on traditional teachings surrounding the Me-Wuk culture for all ages of its community. The library will expand its collection, renew its existing software, and purchase supplies and materials for lesson plan instructions and activities. It will also hire a consultant to be involved with teachings of the traditional knowledge of the Me-Wuk culture. In addition to offering learning opportunities to community members, the library will support travel for its library workforce to skill-enhancing professional development meetings. The project will provide direct benefit to the tribal citizens within its project service area.",0,"Tuolumne Band of Me-Wuk Indians",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Tuolumne,CA
NAB-253790-OLS-23,"The Bear River Band Tribal Library will maintain and expand its collections in audio/visual materials graphic novels and works by Indigenous and Native authors and creators. The library will support the acquisition of library-related materials, supplies, equipment, furnishings, services, and fees for participation in networks and consortia that provide the library with direct services. The library will support the coverage of expenses related to courses, workshops, and other forms of training for library staff. The library will support the coverage of expenses related to staff participation at professional conferences. The project will provide direct benefit to tribal members as well as the Bear River Band community.",0,"Bear River Band of Rohnerville Rancheria",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Loleta,CA
NAB-253736-OLS-23,"The Nulato Tribal Library will establish a technology center within the current library. Over the last several years, the Nulato have compiled resources on cultural history and lifestyle and now seek to preserve its traditions by creating youth awareness. By partnering teen volunteers with the Tribal Elders, the project will implement the use of the new technology center in the library and create learning opportunities for sharing cultural history.",0,"Standing Rock Sioux Tribe",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Fort Yates",ND
NAB-253737-OLS-23,"The Native Village of Napaimute will fund generator fuel and internet fees to keep its library open extra hours and provide 24/7 internet access throughout the summer. Napaimute is a remote community in Southwest Alaska where residents often rely on the library as their only access to computer and internet services. The library plans to upgrade its internet subscription to provide faster service with a larger range to better meet demand. The project will provide direct benefit to the community of Napaimute.",0,"Native Village of Napaimute",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Bethel,AK
NAB-253721-OLS-23,"The Grand Traverse Band of Ottawa and Chippewa Indians will purchase books and resources collection materials for their Heritage Library that benefit their users, as well as materials and supplies that maintain and enhance core library services with particular focus on addressing student academic and achievement gaps with successful programs like their afterschool and summer tutoring, summer enrichment reading program, and cultural events. It will support travel for its library workforce to attend skill-enhancing professional development meetings and conferences that strengthen community engagement and improve educational programs related to specific topics and content areas of interest to their library patrons and community-based users. The project will provide direct benefit to the community members within its project service area.",0,"Grand Traverse Band of Ottawa and Chippewa Indians",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Peshawbestown,MI
NAB-253753-OLS-23,"The Morongo Band of Mission Indians will create and publish an introduction to the Serrano language. Currently, no easily accessible books exist for teaching the Serrano language and the volumes would serve as an important resource for the Morongo community. A portion of funds will be used to support the salary of a Cultural Heritage Language specialist, who will work with the Dorothy Ramon Learning Center and its publishing press, ‘Ushkana Press, to produce the volumes. The grant will provide direct benefit to the Morongo Band of Mission Indians.",0,"Morongo Band of Mission Indians",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Banning,CA
NAB-253794-OLS-23,"The Qualla Boundary Public Library of the Eastern Band of Cherokee Indians seeks to continue to increase, improve, and update its large print novels for its elders as well as the children’s reading selection. This project goal works toward continuing efforts to transport books to the local manor on a weekly basis so that the elders there may check out books in an environment they know and visit often. This project will continue the updating of children’s reading material and assist with curating three Little Free Libraries across the reservation. This will improve parents’ success in finding and accessing age-appropriate materials for their children’s and family use. The library’s work will help improve core library services for their community and improve services for learning and accessing information.",0,"Eastern Band of Cherokee Indians",2023,"Native American Library Services: Basic Grants",$8000,"Office of Library Services",Cherokee,NC
NAB-253674-OLS-23,"The Fort Washakie Library in Fort Waskahie, Wyoming will purchase books focused on Native authors and themes, library processing and repair items, and literacy promotional materials to support its existing operations and to maintain core library services for its community. Funding will support the Fort Washakie School/Community Library salaries for an aide and the library executive director. In addition, funds will maintain costs associated with operating its outreach program, Moby Bookmobile, including book purchases and road mileage. Staff will also strengthen professional development skills through webinar registrations and membership in several library associations. The project will provide direct benefit to tribal citizens and Wind River Indian Reservation community members within its project service area.",0,"Eastern Shoshone Tribe",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Fort Washakie",WY
NAB-253725-OLS-23,"Nondalton Village Library will purchase books and materials that support their patrons’ access to resources as the only public library on the west shore of Six Mile Lake in the Lake and Peninsula Borough in Alaska. Funding will also support a part-time librarian to maintain core library services and travel to the skill-enhancing professional development workshops, panels and experiences at the International Conference of Indigenous Archives, Libraries, and Museums or the American Library Association Annual Conference. The project will provide direct benefit to tribal citizens and community members within its project service area.",0,"Nondalton Tribal Council",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Nondalton,AK
